espn_player_id,season,espn_name,espn_height,espn_weight,espn_team,torvik_name,torvik_height,torvik_team
5142621,2026,Chris Cenac Jr.,6-11,240.0,Houston Cougars,Chris Cenac Jr,6-11,Houston
5149077,2026,Kingston Flemings,6-4,190.0,Houston Cougars,Kingston Flemings,6-4,Houston
5041942,2026,Isiah Harwell,6-6,220.0,Houston Cougars,Isiah Harwell,6-6,Houston
5144098,2026,Bryce Jackson,6-6,210.0,Houston Cougars,,,
5070506,2026,Kordel Jefferson,6-3,195.0,Houston Cougars,Kordel Jefferson,6-3,Houston
5117524,2026,Cedric Lath,6-10,265.0,Houston Cougars,Cedric Lath,6-10,Houston
5101660,2026,Chase McCarty,6-5,215.0,Houston Cougars,Chase McCarty,6-5,Houston
5095062,2026,Jacob McFarland,6-11,225.0,Houston Cougars,Jacob McFarland,6-11,Houston
4873086,2026,Mercy Miller,6-4,200.0,Houston Cougars,Mercy Miller,6-4,Houston
5176274,2026,Kalifa Sakho,6-11,230.0,Houston Cougars,Kalifa Sakho,6-11,Houston
5106058,2026,Emanuel Sharp,6-3,205.0,Houston Cougars,Emanuel Sharp,6-3,Houston
5060700,2026,Joseph Tugler,6-8,230.0,Houston Cougars,Joseph Tugler,6-8,Houston
5106272,2026,Milos Uzan,6-4,195.0,Houston Cougars,Milos Uzan,6-4,Houston
4708176,2026,Ramon Walker Jr.,6-5,215.0,Houston Cougars,Ramon Walker Jr.,6-5,Houston
5243040,2026,Alfredo Addesa,6-10,235.0,Lehigh Mountain Hawks,Alfredo Addesa,6-10,Lehigh
5105684,2026,Henri Adiassa,6-11,240.0,Lehigh Mountain Hawks,Henri Adiassa,6-11,Lehigh
5243042,2026,Hank Alvey,6-9,251.0,Lehigh Mountain Hawks,Hank Alvey,6-9,Lehigh
5243039,2026,Edouard Benoit,6-8,207.0,Lehigh Mountain Hawks,Edouard Benoit,6-8,Lehigh
5314504,2026,Caesar Burrows,6-3,177.0,Lehigh Mountain Hawks,,,
5105685,2026,Tommy Conniff,6-11,260.0,Lehigh Mountain Hawks,Tommy Conniff,6-11,Lehigh
5176077,2026,Joshua Ingram,6-4,176.0,Lehigh Mountain Hawks,Joshua Ingram,6-4,Lehigh
5243041,2026,Peter Kramer,6-5,196.0,Lehigh Mountain Hawks,Peter Kramer,6-5,Lehigh
5105683,2026,Bube Momah,6-8,240.0,Lehigh Mountain Hawks,,,
5176078,2026,Jake Pike,6-8,210.0,Lehigh Mountain Hawks,Jake Pike,6-8,Lehigh
5105682,2026,Brendan Reed,6-0,161.0,Lehigh Mountain Hawks,Brendan Reed,5-11,Lehigh
5314505,2026,Caleb Thomas,5-10,157.0,Lehigh Mountain Hawks,Caleb Thomas,5-10,Lehigh
5314503,2026,Andrew Urosevic,6-3,195.0,Lehigh Mountain Hawks,Andrew Urosevic,6-3,Lehigh
5314506,2026,Jalen Vazquez,6-3,170.0,Lehigh Mountain Hawks,Jalen Vazquez,6-3,Lehigh
5176076,2026,Nasir Whitlock,6-2,184.0,Lehigh Mountain Hawks,Nasir Whitlock,6-2,Lehigh
5186456,2026,Dwayne Aristode,6-8,220.0,Arizona Wildcats,Dwayne Aristode,6-8,Arizona
4896359,2026,Addison Arnold,6-3,185.0,Arizona Wildcats,Addison Arnold,6-3,Arizona
5105555,2026,Tobe Awaka,6-8,255.0,Arizona Wildcats,Tobe Awaka,6-8,Arizona
4432737,2026,Jaden Bradley,6-3,200.0,Arizona Wildcats,Jaden Bradley,6-3,Arizona
5082206,2026,Brayden Burries,6-4,205.0,Arizona Wildcats,Brayden Burries,6-4,Arizona
5174956,2026,Jackson Cook,6-3,185.0,Arizona Wildcats,Jackson Cook,6-2,Arizona
5108141,2026,Anthony Dell'Orso,6-6,205.0,Arizona Wildcats,Anthony Dell'Orso,6-6,Arizona
5239487,2026,Sven Djopmo,6-2,190.0,Arizona Wildcats,Sven Djopmo,6-2,Arizona
5105542,2026,Jackson Francois,6-5,160.0,Arizona Wildcats,Jackson Francois,6-5,Arizona
5311897,2026,Sidi Gueye,6-11,215.0,Arizona Wildcats,Sidi Gueye,6-10,Arizona
5082287,2026,Bryce James,6-5,195.0,Arizona Wildcats,,,
5311896,2026,Ivan Kharchenkov,6-7,220.0,Arizona Wildcats,Ivan Kharchenkov,6-7,Arizona
5174954,2026,Motiejus Krivas,7-2,260.0,Arizona Wildcats,Motiejus Krivas,7-2,Arizona
5311898,2026,Mabil Mawut,6-11,200.0,Arizona Wildcats,,,
4702960,2026,Evan Nelson,6-2,175.0,Arizona Wildcats,Evan Nelson,6-2,Arizona
5041953,2026,Koa Peat,6-8,235.0,Arizona Wildcats,Koa Peat,6-8,Arizona
5108014,2026,AJ Brown,6-4,210.0,Florida Gators,,,
5144372,2026,Isaiah Brown,6-4,210.0,Florida Gators,Isaiah Brown,6-4,Florida
5174971,2026,Rueben Chinyelu,6-10,265.0,Florida Gators,Rueben Chinyelu,6-11,Florida
5174657,2026,Alex Condon,6-11,230.0,Florida Gators,Alex Condon,6-11,Florida
5238195,2026,Boogie Fland,6-3,185.0,Florida Gators,Boogie Fland,6-3,Florida
5108992,2026,Micah Handlogten,7-1,260.0,Florida Gators,Micah Handlogten,7-1,Florida
5080489,2026,Thomas Haugh,6-9,215.0,Florida Gators,Thomas Haugh,6-9,Florida
5217184,2026,CJ Ingram,6-6,205.0,Florida Gators,CJ Ingram II,6-6,Florida
5174660,2026,Cooper Josefsberg,6-4,195.0,Florida Gators,Cooper Josefsberg,6-4,Florida
5238200,2026,Urban Klavzar,6-1,195.0,Florida Gators,Urban Klavzar,6-1,Florida
5175405,2026,Alex Kovatchev,6-5,190.0,Florida Gators,Alex Kovatchev,6-5,Florida
5107169,2026,Xaivian Lee,6-4,180.0,Florida Gators,Xaivian Lee,6-3,Florida
5041948,2026,Alex Lloyd,6-3,180.0,Florida Gators,Alex Lloyd,6-3,Florida
5238201,2026,Viktor Mikic,6-11,260.0,Florida Gators,Viktor Mikic,6-11,Florida
5184753,2026,Olivier Rioux,7-9,305.0,Florida Gators,Olivier Rioux,7-9,Florida
4895737,2026,Solo Ball,6-4,200.0,UConn Huskies,Solo Ball,6-3,Connecticut
5054083,2026,Silas Demary Jr.,6-4,195.0,UConn Huskies,Silas Demary Jr.,6-4,Connecticut
5312036,2026,Rrezon Elezaj,7-1,225.0,UConn Huskies,Rrezon Elezaj,7-1,Connecticut
5248294,2026,Jacob Furphy,6-6,205.0,UConn Huskies,Jacob Furphy,6-6,Connecticut
4917149,2026,Alex Karaban,6-8,230.0,UConn Huskies,Alex Karaban,6-8,Connecticut
4703011,2026,Dwayne Koroma,6-8,212.0,UConn Huskies,Dwayne Koroma,6-8,Connecticut
5241657,2026,Alec Millender,6-1,190.0,UConn Huskies,Alec Millender,6-1,Connecticut
5196916,2026,Braylon Mullins,6-6,196.0,UConn Huskies,Braylon Mullins,6-6,Connecticut
5307570,2026,Uroš Paunovic,6-3,190.0,UConn Huskies,Uroš Paunović,6-3,Connecticut
5105809,2026,Tarris Reed Jr.,6-11,265.0,UConn Huskies,Tarris Reed Jr.,6-10,Connecticut
5152763,2026,Eric Reibe,7-1,260.0,UConn Huskies,Eric Reibe,7-1,Connecticut
5142624,2026,Jacob Ross,6-5,195.0,UConn Huskies,,,
4895753,2026,Jayden Ross,6-7,205.0,UConn Huskies,Jayden Ross,6-7,Connecticut
4683861,2026,Malachi Smith,6-1,180.0,UConn Huskies,Malachi Smith,6-0,Connecticut
4685647,2026,Jaylin Stewart,6-7,225.0,UConn Huskies,Jaylin Stewart,6-7,Connecticut
5252503,2026,Maison Adeleye,6-3,,New Haven Chargers,Maison Adeleye,6-4,New Haven
5314315,2026,Vere Anthony,6-0,,New Haven Chargers,Vere Anthony,6-0,New Haven
5242624,2026,Jagger Bascombe,6-4,175.0,New Haven Chargers,,,
5108121,2026,Kheni Briggs,6-3,200.0,New Haven Chargers,Kheni Briggs,6-3,New Haven
5314321,2026,Tristan Burth,6-8,,New Haven Chargers,Tristan Burth,6-8,New Haven
