torvik_team,player,yr,height_display,mins,ortg,usage_pct,recruit_rank,in_rotation
Abilene Christian,Yaniel Rivera,Sr,6-4,86,103,19,0.0,True
Abilene Christian,Evan Boisdur,So,6-1,82,98,22,0.0,True
Abilene Christian,Timeo Pons,So,6-8,74,98,22,0.2,True
Abilene Christian,Cade Hornecker,Sr,7-0,69,102,22,57.4,True
Abilene Christian,Victor Yimga Moukouri,So,6-8,64,93,18,0.0,True
Abilene Christian,Isaac Dye,So,6-2,47,97,18,0.0,True
Abilene Christian,Stetson Rowley,Fr,6-6,28,88,17,0.0,True
Abilene Christian,J'Den Shields,Fr,6-4,23,88,17,0.0,True
Abilene Christian,Drew Haffner,Fr,6-4,19,88,17,0.0,True
Air Force,Kam Sanders,So,6-3,81,99,26,0.0,True
Air Force,Lucas Hobin,So,6-8,77,102,20,0.0,True
Air Force,Eli Robinson,Jr,6-6,69,103,18,0.2,True
Air Force,Ethan Greenberg,So,6-4,66,101,16,0.0,True
Air Force,Caleb Walker,Sr,6-9,64,104,24,0.0,True
Air Force,Wesley Celichowski,Sr,7-0,53,100,19,0.0,True
Air Force,Riley Dering,So,6-9,36,116,18,0.0,True
Air Force,Kolby Gilles,Sr,6-5,30,87,21,0.0,True
Air Force,Justin Hinds,So,6-5,16,91,14,0.0,True
Air Force,AJ Patterson,Jr,6-3,8,90,17,0.0,True
Air Force,Diego Brito,Fr,6-1,,,,0.0,False
Air Force,Brendan Martin,Fr,6-6,,,,0.0,False
Air Force,Chris Catchings,Fr,6-4,,,,0.0,False
Air Force,Elliott Taite,So,6-3,,,,0.0,False
Air Force,Josh Gatete,Jr,6-9,,,,0.0,False
Air Force,Keaton Frisch,Fr,6-6,,,,0.0,False
Air Force,Sam Imade,Fr,6-6,,,,0.0,False
Akron,Tahj Staveskie,Sr,6-0,80,114,24,0.0,True
Akron,Ty Pence,Sr,6-6,77,115,23,0.0,True
Akron,Max Burton,Sr,6-10,69,117,18,0.0,True
Akron,Colin White,Jr,6-6,65,110,20,69.6,True
Akron,Zach Halligan,Sr,6-4,64,123,15,0.0,True
Akron,Buddy Hammer Jr.,Sr,6-7,52,116,21,0.0,True
Akron,Cody Head,Jr,6-3,36,109,20,0.0,True
