espn_player_id,team_id,espn_team,name,position,class_year,height_display,weight_lbs,source
5041942,248.0,Houston Cougars,Isiah Harwell,G,Freshman,"6' 6""",220.0,espn_roster
5144098,248.0,Houston Cougars,Bryce Jackson,G,Freshman,"6' 6""",210.0,espn_roster
5070506,248.0,Houston Cougars,Kordel Jefferson,G,Sophomore,"6' 3""",195.0,espn_roster
5117524,248.0,Houston Cougars,Cedric Lath,C,Junior,"6' 10""",265.0,espn_roster
5101660,248.0,Houston Cougars,Chase McCarty,F,Freshman,"6' 5""",215.0,espn_roster
5095062,248.0,Houston Cougars,Jacob McFarland,C,Sophomore,"6' 11""",225.0,espn_roster
4873086,248.0,Houston Cougars,Mercy Miller,G,Sophomore,"6' 4""",200.0,espn_roster
5176274,248.0,Houston Cougars,Kalifa Sakho,F,Senior,"6' 11""",230.0,espn_roster
5060700,248.0,Houston Cougars,Joseph Tugler,F,Junior,"6' 8""",230.0,espn_roster
4708176,248.0,Houston Cougars,Ramon Walker Jr.,G,Senior,"6' 5""",215.0,espn_roster
5243040,2329.0,Lehigh Mountain Hawks,Alfredo Addesa,F,Sophomore,"6' 10""",235.0,espn_roster
5105684,2329.0,Lehigh Mountain Hawks,Henri Adiassa,C,Senior,"6' 11""",240.0,espn_roster
5243042,2329.0,Lehigh Mountain Hawks,Hank Alvey,F,Sophomore,"6' 9""",251.0,espn_roster
5243039,2329.0,Lehigh Mountain Hawks,Edouard Benoit,F,Sophomore,"6' 8""",207.0,espn_roster
5314504,2329.0,Lehigh Mountain Hawks,Caesar Burrows,G,Freshman,"6' 3""",177.0,espn_roster
5105685,2329.0,Lehigh Mountain Hawks,Tommy Conniff,C,Senior,"6' 11""",260.0,espn_roster
5176077,2329.0,Lehigh Mountain Hawks,Joshua Ingram,G,Junior,"6' 4""",176.0,espn_roster
5243041,2329.0,Lehigh Mountain Hawks,Peter Kramer,G,Sophomore,"6' 5""",196.0,espn_roster
5105683,2329.0,Lehigh Mountain Hawks,Bube Momah,F,Senior,"6' 8""",240.0,espn_roster
5176078,2329.0,Lehigh Mountain Hawks,Jake Pike,F,Junior,"6' 8""",210.0,espn_roster
5105682,2329.0,Lehigh Mountain Hawks,Brendan Reed,G,Senior,"6' 0""",161.0,espn_roster
5314505,2329.0,Lehigh Mountain Hawks,Caleb Thomas,G,Freshman,"5' 10""",157.0,espn_roster
5314503,2329.0,Lehigh Mountain Hawks,Andrew Urosevic,G,Freshman,"6' 3""",195.0,espn_roster
5314506,2329.0,Lehigh Mountain Hawks,Jalen Vazquez,G,Junior,"6' 3""",170.0,espn_roster
5176076,2329.0,Lehigh Mountain Hawks,Nasir Whitlock,G,Junior,"6' 2""",184.0,espn_roster
5186456,12.0,Arizona Wildcats,Dwayne Aristode,F,Freshman,"6' 8""",220.0,espn_roster
4896359,12.0,Arizona Wildcats,Addison Arnold,G,Sophomore,"6' 3""",185.0,espn_roster
5174956,12.0,Arizona Wildcats,Jackson Cook,G,Sophomore,"6' 3""",185.0,espn_roster
5239487,12.0,Arizona Wildcats,Sven Djopmo,G,Sophomore,"6' 2""",190.0,espn_roster
5105542,12.0,Arizona Wildcats,Jackson Francois,G,Senior,"6' 5""",160.0,espn_roster
5311897,12.0,Arizona Wildcats,Sidi Gueye,F,Freshman,"6' 11""",215.0,espn_roster
5082287,12.0,Arizona Wildcats,Bryce James,G,Freshman,"6' 5""",195.0,espn_roster
5311896,12.0,Arizona Wildcats,Ivan Kharchenkov,F,Freshman,"6' 7""",220.0,espn_roster
5174954,12.0,Arizona Wildcats,Motiejus Krivas,C,Junior,"7' 2""",260.0,espn_roster
5311898,12.0,Arizona Wildcats,Mabil Mawut,F,Freshman,"6' 11""",200.0,espn_roster
4702960,12.0,Arizona Wildcats,Evan Nelson,G,Senior,"6' 2""",175.0,espn_roster
5108014,57.0,Florida Gators,AJ Brown,G,Junior,"6' 4""",210.0,espn_roster
5144372,57.0,Florida Gators,Isaiah Brown,G,Sophomore,"6' 4""",210.0,espn_roster
5174971,57.0,Florida Gators,Rueben Chinyelu,C,Junior,"6' 10""",265.0,espn_roster
5174657,57.0,Florida Gators,Alex Condon,F,Junior,"6' 11""",230.0,espn_roster
5238195,57.0,Florida Gators,Boogie Fland,G,Sophomore,"6' 3""",185.0,espn_roster
5080489,57.0,Florida Gators,Thomas Haugh,F,Junior,"6' 9""",215.0,espn_roster
5217184,57.0,Florida Gators,CJ Ingram,G,Freshman,"6' 6""",205.0,espn_roster
5174660,57.0,Florida Gators,Cooper Josefsberg,G,Junior,"6' 4""",195.0,espn_roster
5238200,57.0,Florida Gators,Urban Klavzar,G,Junior,"6' 1""",195.0,espn_roster
5175405,57.0,Florida Gators,Alex Kovatchev,G,Sophomore,"6' 5""",190.0,espn_roster
5041948,57.0,Florida Gators,Alex Lloyd,G,Freshman,"6' 3""",180.0,espn_roster
5238201,57.0,Florida Gators,Viktor Mikic,C,Sophomore,"6' 11""",260.0,espn_roster
5184753,57.0,Florida Gators,Olivier Rioux,C,Freshman,"7' 9""",305.0,espn_roster
4895737,41.0,UConn Huskies,Solo Ball,G,Junior,"6' 4""",200.0,espn_roster
5054083,41.0,UConn Huskies,Silas Demary Jr.,G,Junior,"6' 4""",195.0,espn_roster
5312036,41.0,UConn Huskies,Rrezon Elezaj,C,Freshman,"7' 1""",225.0,espn_roster
5248294,41.0,UConn Huskies,Jacob Furphy,G,Freshman,"6' 6""",205.0,espn_roster
4703011,41.0,UConn Huskies,Dwayne Koroma,F,Senior,"6' 8""",212.0,espn_roster
5241657,41.0,UConn Huskies,Alec Millender,G,Senior,"6' 1""",190.0,espn_roster
5196916,41.0,UConn Huskies,Braylon Mullins,G,Freshman,"6' 6""",196.0,espn_roster
5307570,41.0,UConn Huskies,Uroš Paunovic,G,Junior,"6' 3""",190.0,espn_roster
5152763,41.0,UConn Huskies,Eric Reibe,C,Freshman,"7' 1""",260.0,espn_roster
5142624,41.0,UConn Huskies,Jacob Ross,F,Freshman,"6' 5""",195.0,espn_roster
4895753,41.0,UConn Huskies,Jayden Ross,F,Junior,"6' 7""",205.0,espn_roster
4683861,41.0,UConn Huskies,Malachi Smith,G,Senior,"6' 1""",180.0,espn_roster
4685647,41.0,UConn Huskies,Jaylin Stewart,F,Junior,"6' 7""",225.0,espn_roster
5252503,2441.0,New Haven Chargers,Maison Adeleye,G,Senior,"6' 3""",,espn_roster
5314315,2441.0,New Haven Chargers,Vere Anthony,G,Freshman,"6' 0""",,espn_roster
5242624,2441.0,New Haven Chargers,Jagger Bascombe,G,Sophomore,"6' 4""",175.0,espn_roster
5108121,2441.0,New Haven Chargers,Kheni Briggs,G,Senior,"6' 3""",200.0,espn_roster
5314321,2441.0,New Haven Chargers,Tristan Burth,F,Freshman,"6' 8""",,espn_roster
5314317,2441.0,New Haven Chargers,Timothy Coleman,F,Junior,"6' 7""",,espn_roster
5243011,2441.0,New Haven Chargers,Stefano Faloppa,F,Junior,"6' 9""",235.0,espn_roster
5185239,2441.0,New Haven Chargers,Jabri Fitzpatrick,G,Junior,"6' 2""",170.0,espn_roster
5314323,2441.0,New Haven Chargers,Najimi George,G,Sophomore,"6' 4""",,espn_roster
5314312,2441.0,New Haven Chargers,Justice Hanna,G,Freshman,"6' 0""",,espn_roster
5314314,2441.0,New Haven Chargers,Owen Hotaling,G,Freshman,"6' 3""",,espn_roster
5314324,2441.0,New Haven Chargers,Kyle Kearson,G,Senior,"6' 4""",,espn_roster
5314313,2441.0,New Haven Chargers,Dior Kennedy,G,Freshman,"6' 2""",,espn_roster
5314311,2441.0,New Haven Chargers,Dominick LaDuca,G,Freshman,"5' 7""",,espn_roster
5314310,2441.0,New Haven Chargers,Aidan Losiewicz,G,Freshman,"6' 3""",,espn_roster
5314316,2441.0,New Haven Chargers,Nathan Narcisse,G,Sophomore,"6' 4""",,espn_roster
5314325,2441.0,New Haven Chargers,Matiss Ogle,G,Freshman,"6' 5""",,espn_roster
5314318,2441.0,New Haven Chargers,John Oladipo,G,Freshman,"6' 2""",,espn_roster
5314320,2441.0,New Haven Chargers,Andre Pasha,F,Sophomore,"6' 9""",,espn_roster
5314319,2441.0,New Haven Chargers,Teshaun Steele,G,Freshman,"6' 7""",,espn_roster
5314322,2441.0,New Haven Chargers,Zoumana Traore,G,Freshman,"6' 8""",,espn_roster
5105658,2599.0,St. John's Red Storm,Dylan Darling,G,Junior,"6' 1""",175.0,espn_roster
5107197,2599.0,St. John's Red Storm,Sadiku Ibine Ayo,F,Senior,"6' 6""",215.0,espn_roster
4869770,2599.0,St. John's Red Storm,Ian Jackson,G,Sophomore,"6' 5""",195.0,espn_roster
5312302,2599.0,St. John's Red Storm,Fotis Konstantinidis,G,Freshman,"6' 2""",180.0,espn_roster
5145712,2599.0,St. John's Red Storm,Lefteris Liotopoulos,G,Sophomore,"6' 4""",195.0,espn_roster
5226072,2599.0,St. John's Red Storm,Kelvin Odih,G,Freshman,"6' 4""",215.0,espn_roster
5312301,2599.0,St. John's Red Storm,Casper Pohto,G,Freshman,"6' 3""",185.0,espn_roster
