espn_player_id,date,gp,fta,two_pa,tpa,mp
4279694,2026-04-07,30,44,77,22,15.486666666667
4396634,2026-04-07,6,2,10,6,9.8333333333333
4431815,2026-04-07,30,123,139,126,31.976666666667
4431995,2026-04-07,25,42,50,2,9.344
4432175,2026-04-07,35,36,92,129,19.42
4432182,2026-04-07,24,57,131,88,22.1875
4432198,2026-04-07,7,2,2,14,6.3285714285714
4432201,2026-04-07,29,87,169,52,26.379310344828
4432204,2026-04-07,3,2,12,0,14.033333333333
4432243,2026-04-07,35,109,231,144,28.445714285714
4432321,2026-04-07,15,0,5,7,2.8133333333333
4432364,2026-04-07,23,36,67,47,17.795652173913
4432398,2026-04-07,27,32,39,76,19.785185185185
4432494,2026-04-07,32,85,270,1,24.840625
4432515,2026-04-07,33,59,56,129,20.663636363636
4432524,2026-04-07,26,40,42,38,10.703846153846
4432586,2026-04-07,25,127,199,113,31.116
4432589,2026-04-07,29,112,176,201,36.855172413793
4432638,2026-04-07,28,242,337,139,33.617857142857
4432692,2026-04-07,29,82,169,45,27.086206896552
4432737,2026-04-07,39,188,301,66,30.587179487179
4432739,2026-04-07,31,10,21,25,6.9741935483871
4432741,2026-04-07,19,165,219,50,26.015789473684
4432749,2026-04-07,31,46,120,95,24.796774193548
4432858,2026-04-07,21,41,91,0,21.238095238095
4432897,2026-04-07,26,79,100,32,15.838461538462
4432899,2026-04-07,31,18,33,59,18.593548387097
4433001,2026-04-07,30,33,38,155,26.553333333333
4433038,2026-04-07,4,0,2,2,2.125
4433138,2026-04-07,40,58,87,160,19.8
4433146,2026-04-07,7,3,11,1,7.3285714285714
4433185,2026-04-07,19,21,36,40,23.873684210526
4433208,2026-04-07,26,21,50,1,5.95
4433231,2026-04-07,26,75,106,9,17.815384615385
4433257,2026-04-07,14,27,69,64,24.821428571429
4433265,2026-04-07,22,20,25,32,12.436363636364
4433271,2026-04-07,5,0,1,0,2.68
4433273,2026-04-07,32,72,117,4,19.784375
4433274,2026-04-07,2,4,6,1,13.75
4433285,2026-04-07,33,266,324,49,33.760606060606
4433286,2026-04-07,30,118,241,60,30.243333333333
4433340,2026-04-07,27,25,33,110,23.433333333333
4433512,2026-04-07,32,92,155,129,33.853125
4433560,2026-04-07,30,51,91,70,23.47
4433577,2026-04-07,25,35,53,64,14.42
4433582,2026-04-07,4,0,0,2,1.9
4433596,2026-04-07,29,126,181,32,22.313793103448
4433600,2026-04-07,29,31,33,30,12.524137931034
4433606,2026-04-07,33,22,58,115,16.463636363636
4433611,2026-04-07,31,81,54,56,27.267741935484
4433615,2026-04-07,29,50,117,0,24.21724137931
4433616,2026-04-07,9,36,39,16,20.877777777778
4433625,2026-04-07,36,116,165,34,20.644444444444
4565204,2026-04-07,22,28,23,65,16.768181818182
4565698,2026-04-07,37,178,276,91,28.805405405405
4567588,2026-04-07,33,61,70,61,17.381818181818
4575837,2026-04-07,28,108,245,132,33.239285714286
4576062,2026-04-07,37,63,196,275,30.545945945946
4585590,2026-04-07,21,28,45,29,14.847619047619
4585602,2026-04-07,25,76,93,73,20.764
4585609,2026-04-07,5,0,4,15,15.52
4586322,2026-04-07,24,24,6,38,10.195833333333
4589481,2026-04-07,23,12,26,22,6.4304347826087
4590359,2026-04-07,29,45,114,73,28.368965517241
4590362,2026-04-07,24,19,25,67,11.725
4591258,2026-04-07,13,8,7,17,8.4692307692308
4592217,2026-04-07,29,32,48,1,16.41724137931
4592314,2026-04-07,33,130,285,38,33.839393939394
4592404,2026-04-07,30,67,238,70,30.163333333333
4592477,2026-04-07,22,59,57,57,21.622727272727
4592579,2026-04-07,27,12,16,98,15.062962962963
4592677,2026-04-07,34,79,221,161,29.194117647059
4592702,2026-04-07,1,0,0,0,0.1
4593474,2026-04-07,33,19,27,133,23.672727272727
4593815,2026-04-07,34,188,252,87,26.776470588235
4593883,2026-04-07,30,66,159,7,21.383333333333
4596711,2026-04-07,32,39,120,75,22.65625
4596953,2026-04-07,25,21,64,27,10.688
4598611,2026-04-07,32,23,51,173,23.80625
4600548,2026-04-07,28,149,228,105,30.028571428571
4602029,2026-04-07,16,16,81,39,23.0375
4609653,2026-04-07,29,80,169,17,22.2
4610012,2026-04-07,35,93,221,98,27.634285714286
4610138,2026-04-07,31,6,17,4,5.5774193548387
4610140,2026-04-07,29,95,145,178,29.751724137931
4611412,2026-04-07,32,40,70,18,14.009375
4611534,2026-04-07,33,48,24,118,20.109090909091
4611541,2026-04-07,1,0,1,1,7.7
4612709,2026-04-07,31,4,5,128,13.361290322581
4682856,2026-04-07,30,251,302,3,24.803333333333
4683134,2026-04-07,32,48,147,0,20.265625
4683146,2026-04-07,34,41,84,95,16.923529411765
4683147,2026-04-07,33,69,166,0,21.857575757576
4683629,2026-04-07,28,147,172,146,30.757142857143
4683633,2026-04-07,19,12,8,97,20.889473684211
4683672,2026-04-07,26,79,131,0,23.096153846154
4683675,2026-04-07,33,74,153,171,31.721212121212
4683680,2026-04-07,31,188,251,83,31.016129032258
4683682,2026-04-07,32,84,98,156,25.96875
4683697,2026-04-07,30,62,239,83,29.033333333333
4683734,2026-04-07,29,65,42,137,25.279310344828
4683741,2026-04-07,28,44,53,10,16.007142857143
4683748,2026-04-07,29,167,237,167,29.306896551724
4683755,2026-04-07,32,37,23,120,22.809375
4683756,2026-04-07,31,90,184,41,23.867741935484
4683757,2026-04-07,29,86,187,155,30.227586206897
4683758,2026-04-07,36,114,166,191,22.613888888889
4683761,2026-04-07,27,87,143,173,31.307407407407
4683763,2026-04-07,25,31,24,20,8.808
4683765,2026-04-07,31,25,49,53,13.548387096774
4683767,2026-04-07,24,56,78,55,20.745833333333
4683768,2026-04-07,30,72,144,99,25.043333333333
4683769,2026-04-07,30,154,169,102,30.856666666667
4683770,2026-04-07,9,2,6,0,5.0444444444444
4683777,2026-04-07,35,58,103,107,23.597142857143
4683779,2026-04-07,7,17,24,35,18.785714285714
4683781,2026-04-07,24,1,17,43,9.2458333333333
4683785,2026-04-07,35,46,78,86,18.594285714286
4683786,2026-04-07,18,145,187,71,35.805555555556
4683837,2026-04-07,6,4,3,15,11.733333333333
4683860,2026-04-07,34,182,256,58,28.847058823529
4683861,2026-04-07,40,47,82,47,15.915
4683939,2026-04-07,4,1,2,0,4.95
4683941,2026-04-07,29,6,22,51,22.562068965517
4683942,2026-04-07,30,257,479,108,37.843333333333
4683944,2026-04-07,31,90,66,274,34.625806451613
4683946,2026-04-07,28,33,58,42,12.978571428571
4684022,2026-04-07,30,142,163,127,30.303333333333
4684146,2026-04-07,32,22,42,83,16.5125
4684152,2026-04-07,30,98,158,127,32.57
4684155,2026-04-07,32,92,102,212,31.553125
4684156,2026-04-07,28,60,64,44,19.525
4684158,2026-04-07,6,9,1,14,11.183333333333
4684163,2026-04-07,10,24,27,15,25.23
4684164,2026-04-07,22,7,10,24,10.604545454545
4684167,2026-04-07,31,108,263,113,33.983870967742
4684207,2026-04-07,32,86,142,0,28.49375
4684268,2026-04-07,31,79,241,213,34.661290322581
4684269,2026-04-07,30,114,161,114,30.04
4684270,2026-04-07,9,27,43,24,18.5
4684276,2026-04-07,28,110,145,169,28.389285714286
4684285,2026-04-07,35,34,80,0,12.457142857143
4684289,2026-04-07,32,117,306,135,31.6125
4684293,2026-04-07,26,60,146,36,20.292307692308
4684296,2026-04-07,28,83,143,32,25.753571428571
4684303,2026-04-07,22,17,13,14,7.5318181818182
4684309,2026-04-07,29,133,225,2,26.793103448276
4684443,2026-04-07,28,189,242,0,27.685714285714
4684448,2026-04-07,14,22,46,0,19.9
4684461,2026-04-07,10,9,19,0,8.36
4684596,2026-04-07,40,33,25,84,13.6625
4684627,2026-04-07,33,114,137,187,28.027272727273
4684628,2026-04-07,30,80,186,193,34.88
4684634,2026-04-07,6,39,56,39,33.95
4684718,2026-04-07,24,44,98,51,25.408333333333
4684720,2026-04-07,30,190,263,127,35.876666666667
4684733,2026-04-07,31,58,73,62,13.590322580645
4684734,2026-04-07,31,16,45,79,16.506451612903
4684735,2026-04-07,23,46,70,39,17.695652173913
4684745,2026-04-07,17,115,117,56,28.476470588235
4684746,2026-04-07,17,14,8,3,7.5352941176471
4684798,2026-04-07,12,17,29,28,17.466666666667
4684799,2026-04-07,34,144,254,11,28.094117647059
4684838,2026-04-07,28,26,46,7,9.2214285714286
4684840,2026-04-07,25,14,27,44,12.308
4684843,2026-04-07,29,90,203,178,35.520689655172
4684984,2026-04-07,33,35,115,1,20.30303030303
4684986,2026-04-07,20,9,33,12,8.865
4684988,2026-04-07,31,29,39,1,16.545161290323
4685004,2026-04-07,26,20,69,1,18.111538461538
4685013,2026-04-07,15,13,16,1,6.3333333333333
4685646,2026-04-07,28,20,36,51,12.960714285714
4685647,2026-04-07,32,27,59,55,16.253125
4685648,2026-04-07,8,4,4,20,10.1875
4685653,2026-04-07,26,46,53,35,23.961538461538
4685658,2026-04-07,30,49,52,96,19.023333333333
4685659,2026-04-07,33,57,40,108,17.118181818182
4685662,2026-04-07,32,45,70,114,22.603125
4685664,2026-04-07,30,112,244,93,27.2
4685671,2026-04-07,31,94,128,3,22.593548387097
4685673,2026-04-07,30,106,227,96,30.71
4685683,2026-04-07,29,79,141,27,18.931034482759
4685686,2026-04-07,31,113,259,118,25.487096774194
4685687,2026-04-07,37,110,221,5,18.5
4685802,2026-04-07,33,143,286,138,28.881818181818
4687377,2026-04-07,24,15,34,34,16.604166666667
4690766,2026-04-07,30,25,41,69,20.326666666667
4691165,2026-04-07,27,99,131,53,22.359259259259
4693724,2026-04-07,28,63,109,0,16.060714285714
4693725,2026-04-07,28,40,54,114,24.210714285714
4698718,2026-04-07,31,168,343,116,32.822580645161
4698719,2026-04-07,36,120,190,132,31.5
4699760,2026-04-07,33,61,135,285,30.378787878788
4700527,2026-04-07,35,144,232,65,21.491428571429
4700530,2026-04-07,10,2,3,2,4.27
4700880,2026-04-07,31,35,64,38,13.709677419355
4700968,2026-04-07,31,87,131,148,30.851612903226
4700971,2026-04-07,33,51,45,0,10.512121212121
4700973,2026-04-07,31,53,69,46,20.064516129032
4701030,2026-04-07,36,67,115,172,21.902777777778
4701125,2026-04-07,28,82,153,100,30.317857142857
4701156,2026-04-07,3,2,4,5,12.9
4701160,2026-04-07,27,104,122,60,26.937037037037
4701187,2026-04-07,15,10,29,14,11.08
4701189,2026-04-07,31,140,133,231,28.703225806452
4701222,2026-04-07,34,56,154,35,20.358823529412
4701266,2026-04-07,6,2,4,0,4.3833333333333
4701543,2026-04-07,1,0,0,0,2.0
4701841,2026-04-07,8,6,16,12,13.6875
4701846,2026-04-07,9,9,11,7,11.544444444444
4702026,2026-04-07,25,41,116,43,17.656
4702042,2026-04-07,30,46,153,87,28.293333333333
4702046,2026-04-07,19,52,117,40,31.810526315789
4702049,2026-04-07,28,151,170,138,29.55
4702097,2026-04-07,26,39,95,23,21.276923076923
4702158,2026-04-07,33,107,269,110,33.172727272727
4702212,2026-04-07,14,37,70,30,22.957142857143
4702218,2026-04-07,31,113,75,113,32.648387096774
4702226,2026-04-07,31,38,94,177,27.177419354839
4702464,2026-04-07,24,37,51,52,20.854166666667
4702467,2026-04-07,33,47,112,160,23.130303030303
4702497,2026-04-07,33,68,132,117,20.075757575758
4702518,2026-04-07,30,60,83,23,17.166666666667
4702522,2026-04-07,29,132,242,121,31.327586206897
4702596,2026-04-07,30,113,99,82,24.576666666667
4702598,2026-04-07,28,65,65,0,9.8107142857143
4702626,2026-04-07,6,9,12,19,19.816666666667
4702629,2026-04-07,31,67,134,107,22.48064516129
4702671,2026-04-07,34,52,117,152,27.388235294118
4702680,2026-04-07,29,152,136,282,36.955172413793
4702696,2026-04-07,28,36,40,135,24.182142857143
4702739,2026-04-07,35,8,30,66,11.865714285714
4702740,2026-04-07,28,27,38,41,8.3142857142857
4702741,2026-04-07,29,96,136,66,26.879310344828
4702764,2026-04-07,32,23,59,108,21.565625
4702765,2026-04-07,29,105,135,6,20.931034482759
4702777,2026-04-07,30,61,132,55,25.8
4702784,2026-04-07,34,88,176,84,28.008823529412
4702889,2026-04-07,30,34,96,24,16.663333333333
4702961,2026-04-07,33,35,71,10,21.239393939394
4702962,2026-04-07,34,63,143,0,26.982352941176
4702975,2026-04-07,12,0,4,23,7.4333333333333
4702976,2026-04-07,29,93,161,0,23.28275862069
4702988,2026-04-07,1,0,0,0,8.7
4702993,2026-04-07,33,40,95,230,31.409090909091
4702994,2026-04-07,16,15,58,15,18.91875
4703009,2026-04-07,30,59,86,167,22.726666666667
4703011,2026-04-07,17,11,16,0,5.4470588235294
4703097,2026-04-07,28,2,19,0,8.9321428571429
4703106,2026-04-07,29,234,203,156,29.613793103448
4703115,2026-04-07,34,99,265,216,33.214705882353
4703155,2026-04-07,7,3,16,0,9.7428571428571
4703194,2026-04-07,10,2,4,4,5.54
4703196,2026-04-07,29,14,17,0,5.8275862068966
4703205,2026-04-07,28,44,77,81,24.396428571429
4703215,2026-04-07,25,103,192,172,30.516
4703253,2026-04-07,30,9,14,36,10.653333333333
4703393,2026-04-07,31,23,45,64,15.890322580645
4703396,2026-04-07,31,148,350,71,31.209677419355
4703399,2026-04-07,29,33,52,48,13.789655172414
4703526,2026-04-07,2,10,17,3,16.25
4703531,2026-04-07,29,96,184,103,33.296551724138
4703572,2026-04-07,30,32,81,231,34.636666666667
4703637,2026-04-07,26,37,103,101,25.869230769231
4703644,2026-04-07,28,82,162,89,30.107142857143
4703670,2026-04-07,3,6,10,2,13.9
4703804,2026-04-07,23,31,41,109,23.930434782609
4703805,2026-04-07,7,17,35,20,22.214285714286
4703833,2026-04-07,30,91,146,135,30.29
4703837,2026-04-07,33,72,182,162,27.542424242424
4703887,2026-04-07,35,68,85,0,18.945714285714
4703893,2026-04-07,14,0,11,23,11.571428571429
4703899,2026-04-07,31,96,124,79,29.132258064516
4703910,2026-04-07,16,16,16,1,5.71875
4703912,2026-04-07,37,42,80,90,24.916216216216
4703977,2026-04-07,20,41,126,0,26.465
4703980,2026-04-07,28,109,269,168,33.2
4703983,2026-04-07,12,5,9,18,12.516666666667
4704015,2026-04-07,31,92,183,244,32.832258064516
4704078,2026-04-07,33,112,330,51,32.833333333333
4704086,2026-04-07,18,8,21,0,6.1944444444444
4704090,2026-04-07,21,4,10,51,9.2571428571429
4704109,2026-04-07,29,141,260,118,34.386206896552
4705371,2026-04-07,25,59,100,48,17.068
4705373,2026-04-07,22,120,114,22,27.409090909091
4706147,2026-04-07,8,2,3,0,2.475
4706237,2026-04-07,19,13,34,52,23.736842105263
4706260,2026-04-07,32,90,140,74,25.38125
4706262,2026-04-07,30,16,96,92,17.363333333333
4706546,2026-04-07,7,0,0,6,1.1857142857143
4707481,2026-04-07,32,152,221,15,24.534375
4708176,2026-04-07,29,25,24,34,10.796551724138
4708219,2026-04-07,25,10,23,87,16.772
4708533,2026-04-07,10,6,14,10,11.66
4708534,2026-04-07,32,46,48,128,19.0625
4709133,2026-04-07,17,27,50,32,16.494117647059
4709140,2026-04-07,9,3,18,8,5.7888888888889
4709141,2026-04-07,35,35,22,166,23.32
4709142,2026-04-07,31,79,131,82,27.651612903226
4709150,2026-04-07,17,9,25,15,8.2882352941176
4709320,2026-04-07,26,129,220,122,32.711538461538
4709321,2026-04-07,6,0,5,0,5.8
4709454,2026-04-07,28,25,49,187,32.442857142857
4709991,2026-04-07,14,6,12,0,6.3071428571429
4710358,2026-04-07,29,70,96,69,25.465517241379
4710359,2026-04-07,14,7,7,46,14.942857142857
4710770,2026-04-07,32,215,206,178,31.43125
4711255,2026-04-07,35,208,255,109,32.431428571429
4711256,2026-04-07,33,55,128,98,24.863636363636
4711257,2026-04-07,2,12,17,13,29.65
4711258,2026-04-07,33,36,53,203,23.760606060606
4711259,2026-04-07,34,126,268,240,34.452941176471
4711260,2026-04-07,32,114,196,11,25.25625
4711264,2026-04-07,19,15,20,67,14.921052631579
4711266,2026-04-07,31,8,14,46,7.3258064516129
4711267,2026-04-07,33,109,270,167,30.812121212121
4711270,2026-04-07,18,31,85,33,16.327777777778
4711271,2026-04-07,31,42,58,23,15.9
4711273,2026-04-07,16,19,24,8,9.15625
4711279,2026-04-07,32,23,58,136,25.459375
4711280,2026-04-07,25,19,61,67,19.524
4711281,2026-04-07,31,61,114,158,31.029032258065
4711295,2026-04-07,27,27,78,42,18.385185185185
4711296,2026-04-07,13,12,27,18,15.869230769231
4711303,2026-04-07,30,24,25,0,6.42
4711304,2026-04-07,36,40,123,67,20.116666666667
4711306,2026-04-07,36,44,107,17,16.266666666667
4711400,2026-04-07,27,45,131,1,22.833333333333
4711402,2026-04-07,32,95,108,42,20.8625
4711691,2026-04-07,25,61,124,60,25.424
4711705,2026-04-07,14,9,12,2,6.85
4711838,2026-04-07,25,104,154,165,32.884
4711900,2026-04-07,20,9,12,37,8.19
4712656,2026-04-07,28,77,169,0,29.635714285714
4712832,2026-04-07,33,97,223,108,32.469696969697
4712834,2026-04-07,31,125,164,114,34.322580645161
4712836,2026-04-07,24,132,181,63,32.454166666667
4712838,2026-04-07,32,129,239,117,28.578125
4712845,2026-04-07,35,50,50,243,28.905714285714
4712846,2026-04-07,32,29,34,169,24.6125
4712848,2026-04-07,30,74,111,128,22.996666666667
4712862,2026-04-07,35,161,336,80,24.302857142857
4712865,2026-04-07,4,0,5,0,4.7
4712866,2026-04-07,34,20,22,160,18.852941176471
4712893,2026-04-07,30,47,71,1,11.763333333333
4713885,2026-04-07,13,6,14,9,8.0538461538462
4719433,2026-04-07,27,91,120,133,23.233333333333
4781728,2026-04-07,28,38,86,17,11.685714285714
4782965,2026-04-07,10,4,1,2,2.81
4791227,2026-04-07,58,62,155,152,19.291379310345
4810230,2026-04-07,30,37,74,0,10.25
4816087,2026-04-07,28,33,75,99,16.232142857143
4823976,2026-04-07,30,98,220,61,31.903333333333
4823977,2026-04-07,9,4,0,10,2.4444444444444
4837238,2026-04-07,32,78,117,246,34.23125
4837356,2026-04-07,35,128,291,167,34.031428571429
4838703,2026-04-07,25,36,96,118,30.6
4838704,2026-04-07,35,72,218,123,33.382857142857
4838705,2026-04-07,32,6,10,54,9.4
4838708,2026-04-07,18,0,7,0,3.2722222222222
4838711,2026-04-07,16,31,133,13,30.73125
4838717,2026-04-07,32,154,295,1,27.109375
4838718,2026-04-07,18,0,7,0,4.0722222222222
4838721,2026-04-07,36,59,91,275,30.558333333333
4838723,2026-04-07,32,71,202,30,18.696875
4838724,2026-04-07,25,6,10,0,8.228
4838752,2026-04-07,31,123,217,67,25.08064516129
4845358,2026-04-07,32,122,193,110,29.05625
4845362,2026-04-07,7,1,5,1,5.3285714285714
4845365,2026-04-07,32,127,324,103,36.86875
4845369,2026-04-07,22,86,196,78,28.827272727273
4845370,2026-04-07,34,75,116,41,17.232352941176
4845373,2026-04-07,33,116,289,147,31.806060606061
4845378,2026-04-07,29,112,221,63,28.896551724138
4845379,2026-04-07,25,6,34,34,13.392
4845382,2026-04-07,32,78,108,161,25.78125
4845387,2026-04-07,33,19,18,27,12.306060606061
4848619,2026-04-07,31,160,188,195,33.970967741935
4848622,2026-04-07,6,10,18,2,16.416666666667
4848623,2026-04-07,22,17,17,7,5.9636363636364
4848625,2026-04-07,35,198,292,92,33.002857142857
4848629,2026-04-07,27,110,146,83,24.6
4848630,2026-04-07,29,189,225,150,30.358620689655
4848631,2026-04-07,32,34,58,20,15.728125
4848640,2026-04-07,10,13,26,0,16.88
4848642,2026-04-07,9,0,7,10,6.5888888888889
4848644,2026-04-07,31,37,56,9,11.906451612903
4858602,2026-04-07,17,10,13,14,6.7941176470588
4858604,2026-04-07,35,83,143,310,33.565714285714
4858606,2026-04-07,34,27,63,1,13.05
4858608,2026-04-07,16,3,9,0,4.7375
4858609,2026-04-07,30,89,213,42,31.033333333333
4858612,2026-04-07,22,21,71,28,15.322727272727
4869737,2026-04-07,27,78,140,170,31.37037037037
4869739,2026-04-07,32,75,164,1,23.034375
4869741,2026-04-07,32,103,157,15,19.5125
4869762,2026-04-07,8,13,20,13,18.8625
4869763,2026-04-07,9,13,4,0,5.5666666666667
4869764,2026-04-07,40,117,158,173,27.2825
4869766,2026-04-07,20,36,45,43,13.01
